Bilineal Timer,Bilineal Timer Mean,Bilineal Timer Std,Splines Timer,Splines Timer Mean,Splines Timer Std,bloques,ecm,k,kNN Timer,kNN Timer Mean,kNN Timer Std,method,name
,,,"3031980.0, 3027817.0, 3032315.0, 3031950.0, 3031671.0, 3036055.0, 3040433.0, 3064371.0, 3032400.0, 3035841.0",3036483.3,9833.928523738618,12,0,3,,,,splines,pattern1
,,,"2983505.0, 3157359.0, 3060700.0, 3146578.0, 3092989.0, 3180505.0, 3050913.0, 3069291.0, 2985102.0, 3020201.0",3074714.3,66055.80212676249,16,0,3,,,,splines,pattern1
,,,"4919623.0, 4916952.0, 4917362.0, 4920656.0, 4918090.0, 4928884.0, 4928133.0, 4919702.0, 4931469.0, 4917234.0",4921810.5,5215.740374098388,4,0,3,,,,splines,pattern1
,,,"3340045.0, 3337514.0, 3344158.0, 3339106.0, 3347073.0, 3345708.0, 3341895.0, 3342332.0, 3341822.0, 3338564.0",3341821.7,2968.234055798161,8,0,3,,,,splines,pattern1
,,,"3833844.0, 3834782.0, 3829878.0, 3841422.0, 3835652.0, 3833214.0, 3835132.0, 3835309.0, 3835328.0, 3847784.0",3836234.5,4699.861386253854,12,0,4,,,,splines,pattern1
,,,"3996164.0, 3976322.0, 3901583.0, 3867918.0, 3953068.0, 3976784.0, 3940446.0, 4044040.0, 3874532.0, 4039335.0",3957019.2,58949.71463170963,16,0,4,,,,splines,pattern1
,,,"6008612.0, 6004865.0, 5996604.0, 6012267.0, 5998069.0, 5989324.0, 5995058.0, 5994103.0, 6025336.0, 6003738.0",6002797.6,10071.596032407178,4,0,4,,,,splines,pattern1
,,,"2592074.0, 2604711.0, 2726157.0, 2671916.0, 2546778.0, 2546060.0, 2543255.0, 2552525.0, 2575449.0, 2624577.0",2598350.2,57937.942978328116,8,0,2,,,,splines,pattern2
,,,"3028184.0, 3027076.0, 3024018.0, 3023098.0, 3045762.0, 3024312.0, 3029082.0, 3024911.0, 3024912.0, 3030770.0",3028212.5,6303.437748562288,12,0,3,,,,splines,pattern2
,,,"2993645.0, 3066065.0, 3025534.0, 3027707.0, 3069529.0, 3058727.0, 3057845.0, 3029767.0, 3080333.0, 3129929.0",3053908.1,35516.18984758923,16,0,3,,,,splines,pattern2
,,,"4863727.0, 4862968.0, 4862126.0, 4864351.0, 4863720.0, 4861983.0, 4863772.0, 4865155.0, 4864611.0, 4862555.0",4863496.8,1011.7594378111824,4,0,3,,,,splines,pattern2
,,,"3448473.0, 3448929.0, 3450514.0, 3408158.0, 3444309.0, 3409611.0, 3490140.0, 3414637.0, 3377306.0, 3419470.0",3431154.7,29908.128186330887,8,0,3,,,,splines,pattern2
,,,"3837156.0, 3848000.0, 3838012.0, 3849122.0, 3836863.0, 3855773.0, 3836114.0, 3845682.0, 3874875.0, 3830305.0",3845190.2,12272.500444489704,12,0,4,,,,splines,pattern2
,,,"3970688.0, 4041270.0, 3921863.0, 3937196.0, 3933044.0, 3895695.0, 3917730.0, 4015224.0, 3797589.0, 3791708.0",3922200.7,76683.34946134004,16,0,4,,,,splines,pattern2
,,,"5985197.0, 5993678.0, 6005284.0, 5985071.0, 5982859.0, 5970116.0, 5970535.0, 5973485.0, 5976138.0, 5966381.0",5980874.4,11444.376035415824,4,0,4,,,,splines,pattern2
