Bilineal Timer,Bilineal Timer Mean,Bilineal Timer Std,Splines Timer,Splines Timer Mean,Splines Timer Std,bloques,ecm,k,kNN Timer,kNN Timer Mean,kNN Timer Std,method,name
,,,,,,-1,1133.11707639,7,"10610.0, 26050.0, 24469.0, 11625.0, 14844.0, 15831.0, 37347.0, 18951.0, 29125.0, 12403.0",20125.5,8376.71429917,knn,paisaje_2
,,,,,,-1,91.8032661488,3,"11012.0, 12563.0, 12361.0, 9552.0, 20137.0, 10920.0, 14640.0, 25460.0, 22300.0, 36012.0",17495.7,8022.30307393,knn,rostro_2
,,,,,,-1,151.621650363,3,"8677.0, 10819.0, 8845.0, 8519.0, 8781.0, 8404.0, 9704.0, 8732.0, 16039.0, 13500.0",10202.0,2449.25649943,knn,paisaje_1
,,,,,,-1,310.454760853,9,"30727.0, 16310.0, 10185.0, 15045.0, 12292.0, 12565.0, 19448.0, 18337.0, 11603.0, 17191.0",16370.3,5603.44992036,knn,rostro_2
,,,,,,-1,10101.5257865,7,"14049.0, 31010.0, 18477.0, 24335.0, 20026.0, 14576.0, 15319.0, 16145.0, 22213.0, 19978.0",19612.8,4973.30983953,knn,geometrica_2
,,,,,,-1,392.69196709,1,"9997.0, 8659.0, 16184.0, 11805.0, 14069.0, 16155.0, 15196.0, 12415.0, 15573.0, 12875.0",13292.8,2479.27879836,knn,paisaje_2
,,,,,,-1,1338.36679498,1,"6381.0, 7529.0, 11273.0, 7305.0, 7759.0, 8056.0, 30049.0, 9140.0, 7421.0, 39638.0",13455.1,10978.5012588,knn,geometrica_2
,,,,,,-1,113.402192772,4,"11854.0, 8354.0, 11137.0, 8771.0, 9229.0, 10177.0, 9397.0, 24911.0, 33352.0, 17120.0",14430.2,7949.97311694,knn,rostro_2
,,,,,,-1,10736.8187698,9,"15400.0, 14858.0, 19843.0, 23897.0, 17836.0, 13478.0, 10637.0, 26926.0, 20077.0, 30787.0",19373.9,5984.24041044,knn,geometrica_2
,,,,,,-1,50.5004197735,4,"10655.0, 21673.0, 16756.0, 10428.0, 22812.0, 10090.0, 14975.0, 49650.0, 34679.0, 51183.0",24290.1,14854.5151146,knn,rostro_1
,,,,,,-1,188.887450949,4,"13714.0, 10531.0, 14179.0, 10484.0, 14668.0, 9306.0, 10868.0, 22074.0, 16805.0, 17286.0",13991.5,3750.38548019,knn,paisaje_1
,,,,,,-1,4218.88198456,3,"14232.0, 26817.0, 11076.0, 12556.0, 25017.0, 9100.0, 8653.0, 15179.0, 16351.0, 11148.0",15012.9,5947.52389571,knn,geometrica_2
,,,,,,-1,1418.69794964,3,"9388.0, 9550.0, 10441.0, 9911.0, 13077.0, 11370.0, 19620.0, 9433.0, 9856.0, 9873.0",11251.9,2989.22218813,knn,geometrica_1
,,,,,,-1,137.7913508,9,"12625.0, 16292.0, 17423.0, 12155.0, 12205.0, 31876.0, 20681.0, 16885.0, 14158.0, 17013.0",17131.3,5559.22626001,knn,rostro_1
,,,,,,-1,7146.79003862,9,"16594.0, 11278.0, 14392.0, 14550.0, 36445.0, 15595.0, 12235.0, 10949.0, 16529.0, 10700.0",15926.7,7165.92123945,knn,geometrica_1
,,,,,,-1,40.1886120111,1,"7144.0, 10645.0, 13420.0, 8477.0, 9663.0, 14001.0, 35669.0, 16703.0, 12328.0, 13962.0",14201.2,7662.59906037,knn,rostro_2
